PASS | Matrix contains unique requirement IDs | 179 rows / 179 unique
PASS | Matrix total matches status JSON | 179 == 179
PASS | Corrected nothing-left-behind matrix tracks 179 requirements | 179
PASS | Done count matches status | 99
PASS | Our-work count matches status | 48
PASS | Blocked count matches status | 32
PASS | Owner/approval blocked subtype count matches status | 22
PASS | External-provider blocked subtype count matches status | 8
PASS | Missing-source blocked subtype count matches status | 2
PASS | Blocked subtype counts sum to blocked total | 22+8+2 == 32
PASS | Bucket counts sum to total | {"1 — Done and proven":99,"3 — Blocked on owner/provider/source input":32,"2 — Our work remains":48}
PASS | Nothing-left-behind row DS-01 exists
PASS | Nothing-left-behind row DS-02 exists
PASS | Nothing-left-behind row DS-03 exists
PASS | Nothing-left-behind row DS-04 exists
PASS | Nothing-left-behind row DS-05 exists
PASS | Nothing-left-behind row DS-06 exists
PASS | Nothing-left-behind row HV-01 exists
PASS | Nothing-left-behind row HV-02 exists
PASS | Nothing-left-behind row HV-03 exists
PASS | Nothing-left-behind row HV-04 exists
PASS | Nothing-left-behind row AS-01 exists
PASS | Nothing-left-behind row CF-05 exists
PASS | Nothing-left-behind row MC-16 exists
PASS | Nothing-left-behind row CP-01 exists
PASS | Nothing-left-behind row LA-01 exists
PASS | Nothing-left-behind row MC-17 exists
PASS | Nothing-left-behind row MC-18 exists
PASS | Nothing-left-behind row MC-19 exists
PASS | Nothing-left-behind row QA-01 exists
PASS | Nothing-left-behind row AB-13 exists
PASS | Nothing-left-behind row CF-06 exists
PASS | Nothing-left-behind row CF-07 exists
PASS | Nothing-left-behind row CF-08 exists
PASS | Nothing-left-behind row CF-09 exists
PASS | Nothing-left-behind row SG-01 exists
PASS | Nothing-left-behind row SG-02 exists
PASS | Nothing-left-behind row HM-19 exists
PASS | CF-09 preserves the European Heart Journal year conflict
PASS | HM-07 moves from owner-asset blocker to real-film proof queue
PASS | HM-19 protects one-viewport welcome-modal fit from regression
PASS | Coronary-blood evidence record remains 2026
PASS | Requirement BR-01 required fields
PASS | Requirement BR-02 required fields
PASS | Requirement BR-03 required fields
PASS | Requirement BR-04 required fields
PASS | Requirement BR-05 required fields
PASS | Requirement BR-06 required fields
PASS | Requirement BR-07 required fields
PASS | Requirement BR-08 required fields
PASS | Requirement BR-09 required fields
PASS | Requirement BR-10 required fields
PASS | Requirement IA-01 required fields
PASS | Requirement IA-02 required fields
PASS | Requirement IA-03 required fields
PASS | Requirement IA-04 required fields
PASS | Requirement IA-05 required fields
PASS | Requirement IA-06 required fields
PASS | Requirement IA-07 required fields
PASS | Requirement IA-08 required fields
PASS | Requirement IA-09 required fields
PASS | Requirement IA-10 required fields
PASS | Requirement IA-11 required fields
PASS | Requirement IA-12 required fields
PASS | Requirement HM-01 required fields
PASS | Requirement HM-02 required fields
PASS | Requirement HM-03 required fields
PASS | Requirement HM-04 required fields
PASS | Requirement HM-05 required fields
PASS | Requirement HM-06 required fields
PASS | Requirement HM-07 required fields
PASS | Requirement HM-08 required fields
PASS | Requirement HM-09 required fields
PASS | Requirement HM-10 required fields
PASS | Requirement HM-11 required fields
PASS | Requirement HM-12 required fields
PASS | Requirement HM-13 required fields
PASS | Requirement HM-14 required fields
PASS | Requirement HM-15 required fields
PASS | Requirement HM-16 required fields
PASS | Requirement HM-17 required fields
PASS | Requirement HM-18 required fields
PASS | Requirement HM-19 required fields
PASS | Requirement AN-01 required fields
PASS | Requirement AN-02 required fields
PASS | Requirement AN-03 required fields
PASS | Requirement AN-04 required fields
PASS | Requirement AN-05 required fields
PASS | Requirement AN-06 required fields
PASS | Requirement AN-07 required fields
PASS | Requirement AN-08 required fields
PASS | Requirement AN-09 required fields
PASS | Requirement AN-10 required fields
PASS | Requirement AN-11 required fields
PASS | Requirement AN-12 required fields
PASS | Requirement AN-13 required fields
PASS | Requirement AN-14 required fields
PASS | Requirement AN-15 required fields
PASS | Requirement AN-16 required fields
PASS | Requirement AN-17 required fields
PASS | Requirement AN-18 required fields
PASS | Requirement SC-01 required fields
PASS | Requirement SC-02 required fields
PASS | Requirement SC-03 required fields
PASS | Requirement SC-04 required fields
PASS | Requirement SC-05 required fields
PASS | Requirement SC-06 required fields
PASS | Requirement SC-07 required fields
PASS | Requirement SC-08 required fields
PASS | Requirement SC-09 required fields
PASS | Requirement SC-10 required fields
PASS | Requirement SC-11 required fields
PASS | Requirement SC-12 required fields
PASS | Requirement SO-01 required fields
PASS | Requirement SO-02 required fields
PASS | Requirement SO-03 required fields
PASS | Requirement SO-04 required fields
PASS | Requirement SO-05 required fields
PASS | Requirement SO-06 required fields
PASS | Requirement SO-07 required fields
PASS | Requirement SO-08 required fields
PASS | Requirement SO-09 required fields
PASS | Requirement SO-10 required fields
PASS | Requirement SO-11 required fields
PASS | Requirement SO-12 required fields
PASS | Requirement SO-13 required fields
PASS | Requirement SO-14 required fields
PASS | Requirement SO-15 required fields
PASS | Requirement SO-16 required fields
PASS | Requirement SO-17 required fields
PASS | Requirement SO-18 required fields
PASS | Requirement SO-19 required fields
PASS | Requirement SO-20 required fields
PASS | Requirement BK-01 required fields
PASS | Requirement BK-02 required fields
PASS | Requirement BK-03 required fields
PASS | Requirement BK-04 required fields
PASS | Requirement BK-05 required fields
PASS | Requirement BK-06 required fields
PASS | Requirement BK-07 required fields
PASS | Requirement BK-08 required fields
PASS | Requirement BK-09 required fields
PASS | Requirement BK-10 required fields
PASS | Requirement BK-11 required fields
PASS | Requirement BK-12 required fields
PASS | Requirement AB-01 required fields
PASS | Requirement AB-02 required fields
PASS | Requirement AB-03 required fields
PASS | Requirement AB-04 required fields
PASS | Requirement AB-05 required fields
PASS | Requirement AB-06 required fields
PASS | Requirement AB-07 required fields
PASS | Requirement AB-08 required fields
PASS | Requirement AB-09 required fields
PASS | Requirement AB-10 required fields
PASS | Requirement AB-11 required fields
PASS | Requirement AB-12 required fields
PASS | Requirement MC-01 required fields
PASS | Requirement MC-02 required fields
PASS | Requirement MC-03 required fields
PASS | Requirement MC-04 required fields
PASS | Requirement MC-05 required fields
PASS | Requirement MC-06 required fields
PASS | Requirement MC-07 required fields
PASS | Requirement MC-08 required fields
PASS | Requirement MC-09 required fields
PASS | Requirement MC-10 required fields
PASS | Requirement MC-11 required fields
PASS | Requirement MC-12 required fields
PASS | Requirement MC-13 required fields
